"BehaviorSpace results (NetLogo 5.1.0)"
"kase-hampejs_simulation1.nlogo"
"experiment"
"01/20/2015 17:53:08:343 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-4","4","-4","4"
"[run number]","prestige_influence","rigidity_effect_start","prophets_limit","number_of_planned_weeks_for_stay","high_prestige_closeness","[step]","count turtles","count practices with [attraction = 1]","count practices with [attraction = 2]","count practices with [attraction = 3]","count practices with [attraction = 4]","count practices with [attraction = 5]","count practices with [attraction = 6]","count practices with [attraction = 7]","count practices with [attraction = 8]","count practices with [attraction = 9]","count practices with [attraction = 10]"
"2","0","5","0","0","false","200","81","17","17","19","16","0","0","0","0","0","0"
"3","0","5","0","0","false","200","81","9","8","32","12","2","0","0","0","0","0"
"4","0","5","0","0","false","200","81","30","19","9","10","0","0","0","0","0","0"
"5","0","5","0","0","false","200","81","15","35","11","13","0","0","0","0","0","0"
"6","0","5","0","0","false","200","81","17","22","13","8","1","0","0","0","0","0"
"7","0","5","0","0","false","200","81","26","20","9","16","0","0","0","0","0","0"
"8","0","5","0","0","false","200","81","18","10","17","13","0","0","0","0","0","0"
"9","0","5","0","0","false","200","81","17","2","33","14","1","0","0","0","0","0"
"10","0","5","0","0","false","200","81","26","15","27","9","0","0","0","0","0","0"
"11","0","10","0","0","false","200","81","11","12","22","6","0","0","0","0","0","0"
"12","0","10","0","0","false","200","81","46","17","7","3","0","0","0","0","0","0"
"13","0","10","0","0","false","200","81","19","14","6","7","0","0","0","0","0","0"
"14","0","10","0","0","false","200","81","16","9","16","7","0","0","0","0","0","0"
"15","0","10","0","0","false","200","81","14","27","13","2","0","0","0","0","0","0"
"16","0","10","0","0","false","200","81","25","21","9","4","0","0","0","0","0","0"
"17","0","10","0","0","false","200","81","11","31","17","11","0","0","0","0","0","0"
"18","0","10","0","0","false","200","81","20","28","6","6","0","0","0","0","0","0"
"19","0","10","0","0","false","200","81","23","23","5","10","0","0","0","0","0","0"
"20","0","10","0","0","false","200","81","14","12","12","5","0","0","0","0","0","0"
"21","0","15","0","0","false","200","81","4","20","21","6","0","0","0","0","0","0"
"22","0","15","0","0","false","200","81","16","14","5","1","0","0","0","0","0","0"
"23","0","15","0","0","false","200","81","20","17","2","0","0","0","0","0","0","0"
"24","0","15","0","0","false","200","81","24","21","6","1","0","0","0","0","0","0"
"25","0","15","0","0","false","200","81","28","8","16","4","0","0","0","0","0","0"
"26","0","15","0","0","false","200","81","22","11","7","0","0","0","0","0","0","0"
"27","0","15","0","0","false","200","81","20","21","8","5","0","0","0","0","0","0"
"28","0","15","0","0","false","200","81","12","9","4","5","0","0","0","0","0","0"
"29","0","15","0","0","false","200","81","35","15","6","3","0","0","0","0","0","0"
"30","0","15","0","0","false","200","81","29","10","12","0","0","0","0","0","0","0"
"31","0","20","0","0","false","200","81","21","29","1","0","0","0","0","0","0","0"
